,Labels,Predictions,Date
0,1.0,0.7511973977088928,2022-07-18
1,1.0,0.6957278251647949,2022-07-15
2,1.0,0.7272055149078369,2022-07-14
3,1.0,0.6861671209335327,2022-07-13
4,1.0,0.8821178078651428,2022-07-12
5,0.0,0.07376406341791153,2022-07-11
6,0.0,0.042611218988895416,2022-07-08
7,0.0,0.5706843733787537,2022-07-07
8,0.0,0.5301317572593689,2022-07-06
9,0.0,0.7066523432731628,2022-07-05
10,1.0,0.8335384130477905,2022-07-01
11,1.0,0.46849673986434937,2022-06-30
12,1.0,0.716313898563385,2022-06-29
13,1.0,0.724448025226593,2022-06-28
14,0.0,0.19909627735614777,2022-06-27
15,0.0,0.12341459840536118,2022-06-24
16,0.0,0.3640206456184387,2022-06-23
17,1.0,0.7187061309814453,2022-06-22
18,1.0,0.7485959529876709,2022-06-21
19,1.0,0.4057878255844116,2022-06-17
20,1.0,0.9123284220695496,2022-06-16
21,1.0,0.9288984537124634,2022-06-15
22,1.0,0.8091980218887329,2022-06-14
23,1.0,0.9172480702400208,2022-06-13
24,0.0,0.3027421832084656,2022-06-10
25,0.0,0.061332207173109055,2022-06-09
26,0.0,0.5664318203926086,2022-06-08
27,0.0,0.17490801215171814,2022-06-07
28,0.0,0.13290897011756897,2022-06-06
29,0.0,0.02829960733652115,2022-06-03
30,0.0,0.25059157609939575,2022-06-02
31,1.0,0.5024843215942383,2022-06-01
32,1.0,0.7669375538825989,2022-05-31
33,0.0,0.12804335355758667,2022-05-27
34,1.0,0.4767242968082428,2022-05-26
35,1.0,0.6732884049415588,2022-05-25
36,1.0,0.6135941743850708,2022-05-24
37,1.0,0.7736875414848328,2022-05-23
38,1.0,0.7845618724822998,2022-05-20
39,1.0,0.5950724482536316,2022-05-19
40,1.0,0.9473493695259094,2022-05-18
41,0.0,0.17142049968242645,2022-05-17
42,0.0,0.280130535364151,2022-05-16
43,0.0,0.1461619734764099,2022-05-13
44,0.0,0.5372243523597717,2022-05-12
45,0.0,0.2054934799671173,2022-05-11
46,1.0,0.7815040349960327,2022-05-10
47,1.0,0.9069936275482178,2022-05-09
48,0.0,0.37237846851348877,2022-05-06
49,0.0,0.2793518602848053,2022-05-05
50,0.0,0.2036771923303604,2022-05-04
51,0.0,0.08619529008865356,2022-05-03
52,0.0,0.2686045467853546,2022-05-02
53,0.0,0.23243892192840576,2022-04-29
54,0.0,0.27208569645881653,2022-04-28
55,1.0,0.595993161201477,2022-04-27
56,1.0,0.15616072714328766,2022-04-26
57,0.0,0.11236255615949631,2022-04-25
58,0.0,0.12206555902957916,2022-04-22
59,0.0,0.21596623957157135,2022-04-21
60,0.0,0.05633801966905594,2022-04-20
61,0.0,0.32164543867111206,2022-04-19
62,0.0,0.0475098080933094,2022-04-18
63,0.0,0.07508037984371185,2022-04-14
64,0.0,0.3503541052341461,2022-04-13
65,1.0,0.830363929271698,2022-04-12
66,1.0,0.688746988773346,2022-04-11
67,0.0,0.27151110768318176,2022-04-08
68,0.0,0.1254437416791916,2022-04-07
69,0.0,0.40365976095199585,2022-04-06
70,0.0,0.1712931990623474,2022-04-05
71,0.0,0.0519786961376667,2022-04-04
72,0.0,0.12824100255966187,2022-04-01
73,0.0,0.3267070949077606,2022-03-31
74,0.0,0.14599378407001495,2022-03-30
75,0.0,0.05580150708556175,2022-03-29
76,1.0,0.3358082175254822,2022-03-28
77,1.0,0.40420636534690857,2022-03-25
78,1.0,0.8202329277992249,2022-03-24
79,1.0,0.86143559217453,2022-03-23
80,1.0,0.8197405338287354,2022-03-22
81,1.0,0.7393646240234375,2022-03-21
82,1.0,0.6029760837554932,2022-03-18
83,1.0,0.7294811606407166,2022-03-17
84,1.0,0.8451118469238281,2022-03-16
85,1.0,0.921399712562561,2022-03-15
86,1.0,0.8266496062278748,2022-03-14
87,1.0,0.7670459747314453,2022-03-11
88,1.0,0.8048426508903503,2022-03-10
89,1.0,0.67311030626297,2022-03-09
90,1.0,0.9439712166786194,2022-03-08
91,0.0,0.9117909669876099,2022-03-07
92,0.0,0.09653963148593903,2022-03-04
93,0.0,0.15927855670452118,2022-03-03
94,0.0,0.04490545764565468,2022-03-02
95,0.0,0.03290547430515289,2022-03-01
96,0.0,0.10756539553403854,2022-02-28
97,0.0,0.08877212554216385,2022-02-25
98,1.0,0.7436126470565796,2022-02-24
99,1.0,0.9643858671188354,2022-02-23
100,1.0,0.6386746764183044,2022-02-22
101,1.0,0.6226953268051147,2022-02-18
102,1.0,0.2823925316333771,2022-02-17
103,0.0,0.037846438586711884,2022-02-16
104,0.0,0.03645268455147743,2022-02-15
105,0.0,0.049246422946453094,2022-02-14
106,0.0,0.10041379928588867,2022-02-11
107,0.0,0.26699861884117126,2022-02-10
108,0.0,0.05608266964554787,2022-02-09
109,0.0,0.06057397648692131,2022-02-08
110,0.0,0.12479382753372192,2022-02-07
111,0.0,0.057788215577602386,2022-02-04
112,1.0,0.6215869188308716,2022-02-03
113,0.0,0.5562301874160767,2022-02-02
114,0.0,0.20113550126552582,2022-02-01
115,0.0,0.15216365456581116,2022-01-31
116,1.0,0.715232253074646,2022-01-28
117,1.0,0.598171591758728,2022-01-27
118,1.0,0.7086247801780701,2022-01-26
119,1.0,0.7594183683395386,2022-01-25
120,1.0,0.8317039608955383,2022-01-24
121,1.0,0.7800768613815308,2022-01-21
122,0.0,0.0368032231926918,2022-01-20
123,0.0,0.15780864655971527,2022-01-19
124,0.0,0.33284062147140503,2022-01-18
125,0.0,0.3469238579273224,2022-01-14
126,0.0,0.05261044576764107,2022-01-13
127,0.0,0.05177006870508194,2022-01-12
128,0.0,0.0814572423696518,2022-01-11
129,0.0,0.08372031897306442,2022-01-10
130,0.0,0.024702388793230057,2022-01-07
131,0.0,0.11606620252132416,2022-01-06
132,1.0,0.3338572382926941,2022-01-05
133,0.0,0.14628101885318756,2022-01-04
134,0.0,0.023844826966524124,2022-01-03
135,1.0,0.7511973977088928,2022-07-18
136,1.0,0.6957278251647949,2022-07-15
137,1.0,0.7272055149078369,2022-07-14
138,1.0,0.6861671209335327,2022-07-13
139,1.0,0.8821178078651428,2022-07-12
140,0.0,0.07376406341791153,2022-07-11
141,0.0,0.042611218988895416,2022-07-08
142,0.0,0.5706843733787537,2022-07-07
143,0.0,0.5301317572593689,2022-07-06
144,1.0,0.7066523432731628,2022-07-05
145,1.0,0.8335384130477905,2022-07-01
146,1.0,0.46849673986434937,2022-06-30
147,1.0,0.716313898563385,2022-06-29
148,1.0,0.724448025226593,2022-06-28
149,0.0,0.19909627735614777,2022-06-27
150,0.0,0.12341459840536118,2022-06-24
151,1.0,0.3640206456184387,2022-06-23
152,1.0,0.7187061309814453,2022-06-22
153,1.0,0.7485959529876709,2022-06-21
154,1.0,0.4057878255844116,2022-06-17
155,1.0,0.9123284220695496,2022-06-16
156,1.0,0.9288984537124634,2022-06-15
157,1.0,0.8091980218887329,2022-06-14
158,1.0,0.9172480702400208,2022-06-13
159,0.0,0.3027421832084656,2022-06-10
160,0.0,0.061332207173109055,2022-06-09
161,0.0,0.5664318203926086,2022-06-08
162,0.0,0.17490801215171814,2022-06-07
163,0.0,0.13290897011756897,2022-06-06
164,0.0,0.02829960733652115,2022-06-03
165,0.0,0.25059157609939575,2022-06-02
166,1.0,0.5024843215942383,2022-06-01
167,1.0,0.7669375538825989,2022-05-31
168,0.0,0.12804335355758667,2022-05-27
169,1.0,0.4767242968082428,2022-05-26
170,1.0,0.6732884049415588,2022-05-25
171,1.0,0.6135941743850708,2022-05-24
172,1.0,0.7736875414848328,2022-05-23
173,1.0,0.7845618724822998,2022-05-20
174,1.0,0.5950724482536316,2022-05-19
175,1.0,0.9473493695259094,2022-05-18
176,0.0,0.17142049968242645,2022-05-17
177,0.0,0.280130535364151,2022-05-16
178,0.0,0.1461619734764099,2022-05-13
179,0.0,0.5372243523597717,2022-05-12
180,0.0,0.2054934799671173,2022-05-11
181,1.0,0.7815040349960327,2022-05-10
182,0.0,0.9069936275482178,2022-05-09
183,0.0,0.37237846851348877,2022-05-06
184,0.0,0.2793518602848053,2022-05-05
185,0.0,0.2036771923303604,2022-05-04
186,0.0,0.08619529008865356,2022-05-03
187,0.0,0.2686045467853546,2022-05-02
188,0.0,0.23243892192840576,2022-04-29
189,0.0,0.27208569645881653,2022-04-28
190,1.0,0.595993161201477,2022-04-27
191,0.0,0.15616072714328766,2022-04-26
192,0.0,0.11236255615949631,2022-04-25
193,0.0,0.12206555902957916,2022-04-22
194,0.0,0.21596623957157135,2022-04-21
195,0.0,0.05633801966905594,2022-04-20
196,0.0,0.32164543867111206,2022-04-19
197,0.0,0.0475098080933094,2022-04-18
198,0.0,0.07508037984371185,2022-04-14
199,1.0,0.3503541052341461,2022-04-13
200,1.0,0.830363929271698,2022-04-12
201,1.0,0.688746988773346,2022-04-11
202,0.0,0.27151110768318176,2022-04-08
203,0.0,0.1254437416791916,2022-04-07
204,1.0,0.40365976095199585,2022-04-06
205,0.0,0.1712931990623474,2022-04-05
206,0.0,0.0519786961376667,2022-04-04
207,0.0,0.12824100255966187,2022-04-01
208,0.0,0.3267070949077606,2022-03-31
209,0.0,0.14599378407001495,2022-03-30
210,0.0,0.05580150708556175,2022-03-29
211,0.0,0.3358082175254822,2022-03-28
212,0.0,0.40420636534690857,2022-03-25
213,0.0,0.8202329277992249,2022-03-24
214,1.0,0.86143559217453,2022-03-23
215,1.0,0.8197405338287354,2022-03-22
216,1.0,0.7393646240234375,2022-03-21
217,1.0,0.6029760837554932,2022-03-18
218,1.0,0.7294811606407166,2022-03-17
219,1.0,0.8451118469238281,2022-03-16
220,1.0,0.921399712562561,2022-03-15
221,1.0,0.8266496062278748,2022-03-14
222,1.0,0.7670459747314453,2022-03-11
223,1.0,0.8048426508903503,2022-03-10
224,1.0,0.67311030626297,2022-03-09
225,1.0,0.9439712166786194,2022-03-08
226,1.0,0.9117909669876099,2022-03-07
227,0.0,0.09653963148593903,2022-03-04
228,0.0,0.15927855670452118,2022-03-03
229,0.0,0.04490545764565468,2022-03-02
230,0.0,0.03290547430515289,2022-03-01
231,0.0,0.10756539553403854,2022-02-28
232,0.0,0.08877212554216385,2022-02-25
233,1.0,0.7436126470565796,2022-02-24
234,1.0,0.9643858671188354,2022-02-23
235,0.0,0.6386746764183044,2022-02-22
236,0.0,0.6226953268051147,2022-02-18
237,0.0,0.2823925316333771,2022-02-17
238,0.0,0.037846438586711884,2022-02-16
239,0.0,0.03645268455147743,2022-02-15
240,0.0,0.049246422946453094,2022-02-14
241,0.0,0.10041379928588867,2022-02-11
242,0.0,0.26699861884117126,2022-02-10
243,0.0,0.05608266964554787,2022-02-09
244,0.0,0.06057397648692131,2022-02-08
245,0.0,0.12479382753372192,2022-02-07
246,0.0,0.057788215577602386,2022-02-04
247,1.0,0.6215869188308716,2022-02-03
248,1.0,0.5562301874160767,2022-02-02
249,1.0,0.20113550126552582,2022-02-01
250,0.0,0.15216365456581116,2022-01-31
251,1.0,0.715232253074646,2022-01-28
252,1.0,0.598171591758728,2022-01-27
253,1.0,0.7086247801780701,2022-01-26
254,1.0,0.7594183683395386,2022-01-25
255,1.0,0.8317039608955383,2022-01-24
256,1.0,0.7800768613815308,2022-01-21
257,0.0,0.0368032231926918,2022-01-20
258,0.0,0.15780864655971527,2022-01-19
259,0.0,0.33284062147140503,2022-01-18
260,0.0,0.3469238579273224,2022-01-14
261,0.0,0.05261044576764107,2022-01-13
262,0.0,0.05177006870508194,2022-01-12
263,0.0,0.0814572423696518,2022-01-11
264,0.0,0.08372031897306442,2022-01-10
265,0.0,0.024702388793230057,2022-01-07
266,0.0,0.11606620252132416,2022-01-06
267,0.0,0.3338572382926941,2022-01-05
268,0.0,0.14628101885318756,2022-01-04
269,0.0,0.023844826966524124,2022-01-03
270,1.0,0.7511973977088928,2022-07-18
271,1.0,0.6957278251647949,2022-07-15
272,1.0,0.7272055149078369,2022-07-14
273,1.0,0.6861671209335327,2022-07-13
274,1.0,0.8821178078651428,2022-07-12
275,0.0,0.07376406341791153,2022-07-11
276,0.0,0.042611218988895416,2022-07-08
277,0.0,0.5706843733787537,2022-07-07
278,0.0,0.5301317572593689,2022-07-06
279,0.0,0.7066523432731628,2022-07-05
280,1.0,0.8335384130477905,2022-07-01
281,1.0,0.46849673986434937,2022-06-30
282,1.0,0.716313898563385,2022-06-29
283,1.0,0.724448025226593,2022-06-28
284,0.0,0.19909627735614777,2022-06-27
285,0.0,0.12341459840536118,2022-06-24
286,0.0,0.3640206456184387,2022-06-23
287,1.0,0.7187061309814453,2022-06-22
288,1.0,0.7485959529876709,2022-06-21
289,1.0,0.4057878255844116,2022-06-17
290,1.0,0.9123284220695496,2022-06-16
291,1.0,0.9288984537124634,2022-06-15
292,1.0,0.8091980218887329,2022-06-14
293,1.0,0.9172480702400208,2022-06-13
294,0.0,0.3027421832084656,2022-06-10
295,0.0,0.061332207173109055,2022-06-09
296,0.0,0.5664318203926086,2022-06-08
297,0.0,0.17490801215171814,2022-06-07
298,0.0,0.13290897011756897,2022-06-06
299,0.0,0.02829960733652115,2022-06-03
300,0.0,0.25059157609939575,2022-06-02
301,1.0,0.5024843215942383,2022-06-01
302,1.0,0.7669375538825989,2022-05-31
303,0.0,0.12804335355758667,2022-05-27
304,1.0,0.4767242968082428,2022-05-26
305,1.0,0.6732884049415588,2022-05-25
306,1.0,0.6135941743850708,2022-05-24
307,1.0,0.7736875414848328,2022-05-23
308,1.0,0.7845618724822998,2022-05-20
309,1.0,0.5950724482536316,2022-05-19
310,1.0,0.9473493695259094,2022-05-18
311,0.0,0.17142049968242645,2022-05-17
312,0.0,0.280130535364151,2022-05-16
313,0.0,0.1461619734764099,2022-05-13
314,1.0,0.5372243523597717,2022-05-12
315,1.0,0.2054934799671173,2022-05-11
316,1.0,0.7815040349960327,2022-05-10
317,1.0,0.9069936275482178,2022-05-09
318,0.0,0.37237846851348877,2022-05-06
319,0.0,0.2793518602848053,2022-05-05
320,0.0,0.2036771923303604,2022-05-04
321,0.0,0.08619529008865356,2022-05-03
322,0.0,0.2686045467853546,2022-05-02
323,0.0,0.23243892192840576,2022-04-29
324,0.0,0.27208569645881653,2022-04-28
325,1.0,0.595993161201477,2022-04-27
326,1.0,0.15616072714328766,2022-04-26
327,0.0,0.11236255615949631,2022-04-25
328,0.0,0.12206555902957916,2022-04-22
329,0.0,0.21596623957157135,2022-04-21
330,0.0,0.05633801966905594,2022-04-20
331,0.0,0.32164543867111206,2022-04-19
332,0.0,0.0475098080933094,2022-04-18
333,0.0,0.07508037984371185,2022-04-14
334,0.0,0.3503541052341461,2022-04-13
335,1.0,0.830363929271698,2022-04-12
336,1.0,0.688746988773346,2022-04-11
337,0.0,0.27151110768318176,2022-04-08
338,0.0,0.1254437416791916,2022-04-07
339,0.0,0.40365976095199585,2022-04-06
340,0.0,0.1712931990623474,2022-04-05
341,0.0,0.0519786961376667,2022-04-04
342,0.0,0.12824100255966187,2022-04-01
343,0.0,0.3267070949077606,2022-03-31
344,0.0,0.14599378407001495,2022-03-30
345,0.0,0.05580150708556175,2022-03-29
346,1.0,0.3358082175254822,2022-03-28
347,1.0,0.40420636534690857,2022-03-25
348,1.0,0.8202329277992249,2022-03-24
349,1.0,0.86143559217453,2022-03-23
350,1.0,0.8197405338287354,2022-03-22
351,1.0,0.7393646240234375,2022-03-21
352,1.0,0.6029760837554932,2022-03-18
353,1.0,0.7294811606407166,2022-03-17
354,1.0,0.8451118469238281,2022-03-16
355,1.0,0.921399712562561,2022-03-15
356,1.0,0.8266496062278748,2022-03-14
357,1.0,0.7670459747314453,2022-03-11
358,1.0,0.8048426508903503,2022-03-10
359,1.0,0.67311030626297,2022-03-09
360,1.0,0.9439712166786194,2022-03-08
361,0.0,0.9117909669876099,2022-03-07
362,0.0,0.09653963148593903,2022-03-04
363,0.0,0.15927855670452118,2022-03-03
364,0.0,0.04490545764565468,2022-03-02
365,0.0,0.03290547430515289,2022-03-01
366,0.0,0.10756539553403854,2022-02-28
367,0.0,0.08877212554216385,2022-02-25
368,1.0,0.7436126470565796,2022-02-24
369,1.0,0.9643858671188354,2022-02-23
370,1.0,0.6386746764183044,2022-02-22
371,1.0,0.6226953268051147,2022-02-18
372,0.0,0.2823925316333771,2022-02-17
373,0.0,0.037846438586711884,2022-02-16
374,0.0,0.03645268455147743,2022-02-15
375,0.0,0.049246422946453094,2022-02-14
376,0.0,0.10041379928588867,2022-02-11
377,0.0,0.26699861884117126,2022-02-10
378,0.0,0.05608266964554787,2022-02-09
379,0.0,0.06057397648692131,2022-02-08
380,0.0,0.12479382753372192,2022-02-07
381,0.0,0.057788215577602386,2022-02-04
382,1.0,0.6215869188308716,2022-02-03
383,1.0,0.5562301874160767,2022-02-02
384,0.0,0.2011355459690094,2022-02-01
385,0.0,0.15216365456581116,2022-01-31
386,1.0,0.715232253074646,2022-01-28
387,1.0,0.5981716513633728,2022-01-27
388,1.0,0.7086247205734253,2022-01-26
389,1.0,0.7594183683395386,2022-01-25
390,1.0,0.8317039608955383,2022-01-24
391,1.0,0.7800768613815308,2022-01-21
392,0.0,0.036803241819143295,2022-01-20
393,0.0,0.15780864655971527,2022-01-19
394,0.0,0.33284062147140503,2022-01-18
395,0.0,0.346923828125,2022-01-14
396,0.0,0.05261044576764107,2022-01-13
397,0.0,0.051770079880952835,2022-01-12
398,0.0,0.0814572274684906,2022-01-11
399,0.0,0.08372033387422562,2022-01-10
400,0.0,0.024702388793230057,2022-01-07
401,0.0,0.11606620252132416,2022-01-06
402,1.0,0.3338572382926941,2022-01-05
403,0.0,0.14628101885318756,2022-01-04
404,0.0,0.023844826966524124,2022-01-03
